country,region,year,gdp_per_capita,infant_mortality,population
Algeria,Africa,2000,1727.333251,34.0,31719449
Angola,Africa,2000,655.629495,128.0,13924930
Benin,Africa,2000,339.473026,90.0,6949366
Botswana,Africa,2000,3297.478684,54.0,1755375
Burkina Faso,Africa,2000,224.928647,96.0,11607944
Burundi,Africa,2000,130.423848,92.0,6674286
Cameroon,Africa,2000,583.094859,93.0,15927713
Central African Republic,Africa,2000,251.35264,113.0,3638316
Chad,Africa,2000,166.851345,106.0,8301151
Comoros,Africa,2000,382.160322,73.0,528312
Congo (Kinshasa),Africa,2000,406.567703,115.0,46949244
Congo (Brazzaville),Africa,2000,1029.974585,77.0,3126204
Cote d'Ivoire,Africa,2000,645.765682,100.0,16131332
Djibouti,Africa,2000,762.540842,80.0,722887
Egypt,Africa,2000,1509.58102,36.0,66136590
Equatorial Guinea,Africa,2000,2018.60464,99.0,518179
Eritrea,Africa,2000,179.311605,58.0,3939348
Ethiopia,Africa,2000,122.551807,90.0,66024199
Gabon,Africa,2000,4135.25406,56.0,1225527
"Gambia, The",Africa,2000,637.104271,63.0,1228863
Ghana,Africa,2000,264.692699,65.0,18825034
Guinea,Africa,2000,342.47852,103.0,8746128
Guinea-Bissau,Africa,2000,284.187197,109.0,1273312
Kenya,Africa,2000,406.115706,69.0,31285050
Lesotho,Africa,2000,415.467215,81.0,1856225
Liberia,Africa,2000,182.942774,119.0,2891968
Libya,Africa,2000,6548.568274,24.0,5176185
Madagascar,Africa,2000,246.282641,71.0,15744811
Malawi,Africa,2000,153.999638,103.0,11321496
Mali,Africa,2000,236.09611,116.0,10260577
Mauritania,Africa,2000,477.698704,76.0,2708095
Mauritius,Africa,2000,3861.038542,16.0,1186873
Morocco,Africa,2000,1289.461903,43.0,28710123
Mozambique,Africa,2000,235.838306,114.0,18275618
Namibia,Africa,2000,2059.40061,49.0,1897953
Niger,Africa,2000,163.64011,101.0,10989815
Nigeria,Africa,2000,377.500257,113.0,122876727
Rwanda,Africa,2000,206.649071,108.0,8395577
Sao Tome and Principe,Africa,2000,550.17145,58.0,139428
Senegal,Africa,2000,474.524158,69.0,9861679
Seychelles,Africa,2000,7578.828943,12.0,81131
Sierra Leone,Africa,2000,153.60177,141.0,4139757
South Africa,Africa,2000,3022.727273,52.0,44000000
Sudan,Africa,2000,442.026269,69.0,27729798
Eswatini,Africa,2000,1433.175389,80.0,1063715
Tanzania,Africa,2000,299.401319,80.0,34020512
Togo,Africa,2000,266.046453,77.0,4864753
Tunisia,Africa,2000,2245.327431,26.0,9563500
Uganda,Africa,2000,255.121858,89.0,24275641
Zambia,Africa,2000,322.102551,100.0,10100981
Zimbabwe,Africa,2000,535.040291,61.0,12503652
Armenia,Asia,2000,621.424826,27.0,3076098
Azerbaijan,Asia,2000,655.097433,61.0,8048600
Bangladesh,Asia,2000,355.973434,64.0,132383265
Bhutan,Asia,2000,778.166445,59.0,564350
Brunei,Asia,2000,18086.604073,8.0,331801
Cambodia,Asia,2000,298.950362,82.0,12222871
China,Asia,2000,950.385896,30.0,1262645000
Georgia,Asia,2000,691.997705,31.0,4418300
India,Asia,2000,457.658545,67.0,1042261758
Indonesia,Asia,2000,789.705313,41.0,208938698
Japan,Asia,2000,37282.257429,3.0,126870000
Kazakhstan,Asia,2000,1229.000958,38.0,14883626
South Korea,Asia,2000,11955.383615,5.0,47008111
Kyrgyzstan,Asia,2000,279.620275,42.0,4898400
Laos,Asia,2000,321.289484,83.0,5388281
Malaysia,Asia,2000,4004.545955,9.0,23420751
Maldives,Asia,2000,2289.087404,35.0,272745
Mongolia,Asia,2000,474.206034,49.0,2397473
Nepal,Asia,2000,236.982844,60.0,23184177
Pakistan,Asia,2000,514.15796,88.0,143832014
Philippines,Asia,2000,1043.456103,30.0,77651848
Singapore,Asia,2000,23793.036319,3.0,4027900
Sri Lanka,Asia,2000,854.926725,14.0,19102000
Tajikistan,Asia,2000,139.109142,75.0,6186152
Thailand,Asia,2000,1972.944072,19.0,62343379
Timor-Leste,Asia,2000,410.152475,84.0,853585
Turkmenistan,Asia,2000,645.277102,66.0,4501419
Uzbekistan,Asia,2000,558.221144,53.0,24650400
Vietnam,Asia,2000,433.333708,27.0,77630900
Albania,Europe,2000,1193.466223,23.0,3089027
Andorra,Europe,2000,17334.275677,4.0,65399
Austria,Europe,2000,23965.352092,5.0,8011566
Belarus,Europe,2000,1273.049124,11.0,10005000
Belgium,Europe,2000,22728.935496,5.0,10251250
Bosnia and Herzegovina,Europe,2000,1435.957686,8.0,3834364
Bulgaria,Europe,2000,1579.34824,18.0,8170172
Croatia,Europe,2000,4861.67751,7.0,4426000
Cyprus,Europe,2000,9874.977134,6.0,943287
Czechia,Europe,2000,5734.45959,6.0,10255063
Denmark,Europe,2000,29964.701582,5.0,5339616
Estonia,Europe,2000,4062.819268,9.0,1396985
Finland,Europe,2000,23569.372875,4.0,5176209
France,Europe,2000,21835.116078,4.0,60911057
Germany,Europe,2000,22989.482202,4.0,82211508
Greece,Europe,2000,11357.930336,7.0,10917482
Hungary,Europe,2000,4542.72072,10.0,10210971
Iceland,Europe,2000,30928.675642,3.0,281205
Ireland,Europe,2000,25578.730977,6.0,3805174
Italy,Europe,2000,19317.865787,5.0,56942108
Latvia,Europe,2000,3308.512355,15.0,2367550
